fullId,source,id,category,datasets,wnsynset,wnsynsetkey,otf,up,front,nfaces,nvertices,nmeshes,nmaterials,minPoint,maxPoint,aligned.minPoint,aligned.maxPoint,aligned.dims,index,variantIds,baseVariantId,isCornerPiece,setIds,componentIds
p5d.450,p5d,450,"chair,straight_chair",SUNCG,n04331277,straight_chair.n.01,0,,,2040,1484,1,1,"-0.215, 0.0, -0.28482097","0.21474001, 0.970327, 0.284882","-21.473999, 0.0, -28.488201","21.5, 97.0327, 28.482098","42.974, 97.0327, 56.9703",330,,,,,
p5d.451,p5d,451,tv_stand,SUNCG,n03290653,entertainment_center.n.01,0,,,2395,1659,2,2,"-0.750001, 0.0, -0.25","0.750001, 0.6, 0.25","-75.0001, 0.0, -25.0","75.0001, 60.000004, 25.0","150.0002, 60.000004, 50.0",331,,,,,
p5d.452,p5d,452,"table,dining_table",SUNCG,n03201208,dining_table.n.01,0,,,7400,5232,1,1,"-0.79999995, 0.0, -0.425","0.799999, 0.8, 0.425","-79.99991, 0.0, -42.5","80.0, 80.0, 42.5","159.99991, 80.0, 85.0",332,,,,,
p5d.453,p5d,453,"toilet,bidet",SUNCG,n02836174,bidet.n.01,14,,,1908,1026,2,2,"-0.18, 8.6936355E-4, -0.285","0.18, 0.353832, 0.285","-18.0, 0.08693695, -28.5","18.0, 35.3832, 28.5","36.0, 35.296265, 57.0",333,,,,,
p5d.454,p5d,454,tv_stand,SUNCG,n03290653,entertainment_center.n.01,0,,,2280,1608,3,3,"-0.75, 0.0, -0.26","0.75, 0.47175, 0.26","-75.0, 0.0, -26.0","75.0, 47.175, 26.0","150.0, 47.175, 52.0",334,,,,,
p5d.455,p5d,455,desk,SUNCG,n03179701,desk.n.01,0,,,13328,8921,3,3,"-0.650407, 0.0, -0.324801","0.649954, 0.78, 0.324801","-64.9954, 0.0, -32.4801","65.0407, 78.0, 32.4801","130.0361, 78.0, 64.9602",335,,,,,
p5d.456,p5d,456,shelving,SUNCG,n04190052,shelf.n.01,153,,,540,380,1,1,"-0.315, 1.1920929E-7, -0.1","0.315, 0.64, 0.1","-31.5, 1.5258789E-5, -10.0","31.5, 64.0, 10.0","63.0, 63.999985, 20.0",336,,,,,
p5d.457,p5d,457,shelving,SUNCG,n04190052,shelf.n.01,149,,,648,456,1,1,"-0.075, 0.0, -0.07500009","0.07500009, 0.72, 0.075","-7.50001, 0.0, -7.5000005","7.5000005, 72.0, 7.50001","15.0000105, 72.0, 15.0000105",337,,,,,
p5d.458,p5d,458,"shelving,wall_shelf",SUNCG,n04190052,shelf.n.01,145,,,436,244,2,2,"-0.32, 0.0, -0.0999999","0.32, 0.15, 0.1","-32.0, 0.0, -10.0","32.0, 15.000001, 9.999989","64.0, 15.000001, 19.999989",338,,,,,
p5d.459,p5d,459,"shelving,wall_shelf",SUNCG,n04190052,shelf.n.01,156,,,108,76,1,1,"-0.32, 0.0, -0.1","0.32, 0.0400001, 0.0999999","-32.0, 0.0, -9.999989","32.0, 4.00001, 10.0","64.0, 4.00001, 19.999989",339,,,,,
p5d.46,p5d,46,hanging_kitchen_cabinet,SUNCG,n02933112,cabinet.n.01,139,,,1369,1159,2,2,"-0.200006, 0.004451871, -0.23","0.200002, 0.691946, 0.23","-20.000202, 0.44519043, -23.0","20.000599, 69.1946, 23.0","40.0008, 68.74941, 46.0",340,,,,1,
p5d.460,p5d,460,toy,SUNCG,n03964744,plaything.n.01,0,,,1428,1060,6,6,"-0.41446102, -3.7899613E-4, -0.339863","0.414932, 0.438813, 0.33967","-41.493202, -0.037899017, -33.967","41.4461, 43.8813, 33.9863","82.9393, 43.9192, 67.9533",341,,,,,
p5d.461,p5d,461,toy,SUNCG,n03964744,plaything.n.01,0,,,2472,1740,10,10,"-0.310122, -0.0010828972, -0.464728","0.33479798, 0.544219, 0.375004","-33.4798, -0.10828781, -37.500404","31.012203, 54.4219, 46.4728","64.492004, 54.53019, 83.973206",342,,,,,
p5d.462,p5d,462,toy,SUNCG,n03964744,plaything.n.01,0,,,4944,3480,20,18,"-0.487387, -4.709959E-4, -0.424895","0.487274, 0.90268, 0.42469","-48.727394, -0.04710388, -42.469","48.7387, 90.268, 42.489494","97.466095, 90.3151, 84.958496",343,,,,,
p5d.463,p5d,463,plant,SUNCG,n00017222,plant.n.02,0,,,4770,3136,9,9,"-0.99680686, 0.0, -1.072056","1.067097, 2.109597, 1.0447881","-106.70969, 0.0, -104.4788","99.680695, 210.9597, 107.205605","206.39038, 210.9597, 211.6844",344,,,,,
p5d.464,p5d,464,dresser,SUNCG,n03015254,chest_of_drawers.n.01,0,,,819,528,2,2,"-0.47, 0.0, -0.229985","0.47, 1.1, 0.229985","-47.0, 0.0, -22.9985","47.0, 110.0, 22.9985","94.0, 110.0, 45.997",345,,,,,
p5d.465,p5d,465,bathtub,SUNCG,n02808440,bathtub.n.01,0,,,6383,5586,6,6,"-0.7, -5.9604645E-8, -0.7","0.7, 0.967787, 0.7","-70.0, 0.0, -70.0","70.0, 96.7787, 70.0","140.0, 96.7787, 140.0",346,,,,,
p5d.466,p5d,466,bench_chair,SUNCG,n03891251,park_bench.n.01,0,,,2268,1300,2,2,"-0.598414, -2.0980835E-5, -0.37501204","0.598414, 0.904632, 0.37499","-59.8414, -0.0020980835, -37.499","59.8414, 90.463196, 37.501198","119.6828, 90.465294, 75.0002",347,,,,,
p5d.467,p5d,467,"chair,lounge_chair",SUNCG,n04062428,recliner.n.01,0,,,7728,7578,1,1,"-0.309998, -5.9604645E-8, -0.815376","0.309998, 0.917234, 0.814624","-30.9998, 0.0, -81.4624","30.9998, 91.723404, 81.5376","61.9996, 91.723404, 163.0",348,,,,,
p5d.468,p5d,468,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,8952,5860,3,3,"-0.450883, -7.987022E-6, -0.450747","0.450883, 0.770895, 0.450747","-45.0883, -8.010864E-4, -45.0747","45.0883, 77.0895, 45.0747","90.1766, 77.0903, 90.1494",349,,,,,
p5d.469,p5d,469,dresser,SUNCG,n03015254,chest_of_drawers.n.01,0,,,4473,2628,1,1,"-0.42, 0.0, -0.229874","0.42, 0.91925, 0.229881","-42.0, 0.0, -22.988102","42.0, 91.925, 22.9874","84.0, 91.925, 45.975502",350,,,,,
p5d.470,p5d,470,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,4326,3114,3,3,"-0.6, 0.0, -0.4","0.6, 0.8, 0.4","-60.000004, 0.0, -40.0","60.000004, 80.0, 40.0","120.00001, 80.0, 80.0",351,,,,,
p5d.471,p5d,471,"chair,armchair,sofa_chair",SUNCG,n03262932,easy_chair.n.01,0,,,3766,2392,3,3,"-0.425, -1.3798475E-4, -0.47519904","0.425, 0.952638, 0.474801","-42.5, -0.013801575, -47.4801","42.5, 95.263794, 47.5199","85.0, 95.277596, 95.0",352,,,,132,
p5d.472,p5d,472,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,3406,2270,2,2,"-0.454912, 0.0, -0.300019","0.454912, 0.448015, 0.300019","-45.4912, 0.0, -30.0019","45.4912, 44.801502, 30.0019","90.9824, 44.801502, 60.0038",353,,,,,
p5d.473,p5d,473,sofa,SUNCG,n04256520,sofa.n.01,0,,,4438,2851,3,3,"-0.800834, -1.3798475E-4, -0.474859","0.800834, 0.952638, 0.47446203","-80.0834, -0.013801575, -47.446198","80.0834, 95.263794, 47.4859","160.1668, 95.277596, 94.9321",354,,,,132,
p5d.474,p5d,474,table,SUNCG,n04379243,table.n.02,0,,,4072,3050,1,1,"-0.5, 0.0, -0.5","0.5, 0.75, 0.5","-50.0, 0.0, -50.0","50.0, 75.0, 50.0","100.0, 75.0, 100.0",355,,,,,
p5d.475,p5d,475,bench_chair,SUNCG,n03891251,park_bench.n.01,0,,,3892,2444,2,2,"-0.8, -0.0012270212, -0.42497","0.8, 0.75, 0.42497","-80.0, -0.12270355, -42.497","80.0, 75.0, 42.497","160.0, 75.1227, 84.994",356,,,,,
p5d.476,p5d,476,bench_chair,SUNCG,n03891251,park_bench.n.01,0,,,4792,3325,1,1,"-0.5, 0.0, -0.294999","0.5, 0.89, 0.294945","-50.0, 0.0, -29.4945","50.0, 89.0, 29.4999","100.0, 89.0, 58.9944",357,,,,,
p5d.477,p5d,477,desk,SUNCG,n03179701,desk.n.01,0,,,1898,1946,3,3,"-1.0, -5.9604645E-8, -0.85","1.0, 0.75, 0.850001","-100.0, 0.0, -85.00009","100.0, 75.0, 85.0","200.0, 75.0, 170.00009",358,,,,,
p5d.478,p5d,478,bench_chair,SUNCG,n02788386,banquette.n.01,0,,,3628,3500,2,2,"-0.515, 0.0, -0.17","0.51500094, 0.487656, 0.17","-51.5001, 0.0, -17.0","51.5, 48.7656, 17.0","103.0001, 48.7656, 34.0",359,,,,,
p5d.479,p5d,479,shoes_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,3832,2356,2,2,"-0.345024, 0.0, -0.209997","0.345024, 0.397485, 0.20994401","-34.5024, 0.0, -20.9944","34.5024, 39.748497, 20.999702","69.0048, 39.748497, 41.994102",360,,,,,
p5d.480,p5d,480,dresser,SUNCG,n03015254,chest_of_drawers.n.01,0,,,2360,1652,1,1,"-0.64317, 0.0, -0.259987","0.64317, 0.838985, 0.259965","-64.317, 0.0, -25.996502","64.317, 83.898506, 25.9987","128.634, 83.898506, 51.9952",361,,,,,
p5d.481,p5d,481,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,11164,6940,3,3,"-0.93, 5.021095E-4, -0.189852","0.93, 2.7, 0.189935","-93.0, 0.050201416, -18.9935","93.0, 270.0, 18.985199","186.0, 269.9498, 37.9787",362,,,,,
p5d.482,p5d,482,"shelving,bookshelf",SUNCG,n02871439,bookshelf.n.01,0,,,3808,2434,1,1,"-0.51, 0.0, -0.23","0.51, 1.41, 0.23","-51.0, 0.0, -23.0","51.0, 141.0, 23.0","102.0, 141.0, 46.0",363,,,,,
p5d.483,p5d,483,stairs,SUNCG,n04314914,step.n.04,0,,,6396,3902,2,2,"-0.590001, 0.0, -0.23","0.59000003, 1.049618, 0.23","-58.999992, 0.0, -23.0","59.0001, 104.9618, 23.0","118.00009, 104.9618, 46.0",364,,,,,
p5d.484,p5d,484,"workplace,double_desk",SUNCG,n03179701,desk.n.01,0,,,8110,6062,6,6,"-1.60602, -4.0769577E-5, -0.90000093","1.60602, 1.64021, 0.9","-160.60199, -0.0040740967, -90.0","160.60199, 164.021, 90.00009","321.20398, 164.02507, 180.00009",365,,,,,
p5d.485,p5d,485,desk,SUNCG,n03179701,desk.n.01,0,,,2616,1882,4,4,"-0.700016, -4.0769577E-5, -0.50000095","0.700017, 1.095, 0.5","-70.00169, -0.004081726, -50.0","70.0016, 109.5, 50.000107","140.0033, 109.50408, 100.00011",366,,,,158,
p5d.486,p5d,486,desk,SUNCG,n03179701,desk.n.01,0,,,2750,1744,4,4,"-0.700017, -4.0769577E-5, -0.50000095","0.700017, 1.095, 0.5","-70.00169, -0.004081726, -50.0","70.00169, 109.5, 50.000107","140.00339, 109.50408, 100.00011",367,,,,158,
p5d.487,p5d,487,desk,SUNCG,n03179701,desk.n.01,0,,,512,329,3,3,"-0.3, 0.0, -0.3","0.3, 0.715, 0.3","-30.000002, 0.0, -30.000002","30.000002, 71.5, 30.000002","60.000004, 71.5, 60.000004",368,,,,29,
p5d.488,p5d,488,stand,SUNCG,n04301000,stand.n.04,0,,,2376,1420,4,3,"-0.205, 0.0, -0.43491","0.205, 1.640734, 0.43491","-20.5, 0.0, -43.490997","20.5, 164.0734, 43.490997","41.0, 164.0734, 86.981995",369,,,,29,
p5d.489,p5d,489,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,,,700,500,4,4,"-0.4, 0.0, -0.3","0.4, 0.715, 0.3","-40.0, 0.0, -30.000002","40.0, 71.5, 30.000002","80.0, 71.5, 60.000004",370,,,,29,
p5d.490,p5d,490,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,,,700,500,4,4,"-0.4, 0.0, -0.3","0.4, 0.715, 0.3","-40.0, 0.0, -30.000002","40.0, 71.5, 30.000002","80.0, 71.5, 60.000004",371,,,,29,
p5d.491,p5d,491,"chair,armchair",SUNCG,n02738535,armchair.n.01,0,,,5288,4129,2,2,"-0.395, 0.0, -0.394873","0.395, 0.9, 0.395","-39.5, 0.0, -39.5","39.5, 90.0, 39.487305","79.0, 90.0, 78.987305",372,,,,,
p5d.492,p5d,492,"shelving,wall_shelf",SUNCG,n04190052,shelf.n.01,140,,,324,228,1,1,"-0.35, -1.1920929E-7, -0.1","0.35, 0.31, 0.1","-35.0, -1.1444092E-5, -10.0","35.0, 31.0, 10.0","70.0, 31.000011, 20.0",373,,,,,
p5d.493,p5d,493,"shelving,wall_shelf",SUNCG,n04190052,shelf.n.01,137,,,332,254,1,1,"-0.47, 2.3841858E-7, -0.0999999","0.47, 0.23, 0.1","-47.0, 2.4795532E-5, -10.0","47.0, 23.0, 9.999989","94.0, 22.999975, 19.999989",374,,,,,
p5d.494,p5d,494,desk,SUNCG,n03179701,desk.n.01,0,,,4160,3463,2,1,"-1.025, -5.9604645E-8, -0.9499999","1.025, 0.759901, 0.949998","-102.5, 0.0, -94.9998","102.5, 75.9901, 95.0","205.0, 75.9901, 189.9998",375,,,1,,
p5d.495,p5d,495,tv_stand,SUNCG,n03290653,entertainment_center.n.01,0,,,1260,668,2,2,"-0.55, 0.0, -0.21000001","0.55, 0.41, 0.21000001","-55.0, 0.0, -21.0","55.0, 41.0, 21.0","110.0, 41.0, 42.0",376,,,,,
p5d.496,p5d,496,"chair,folding_chair",SUNCG,n03376595,folding_chair.n.01,0,,,4920,3081,1,1,"-0.22, 0.0, -0.255042","0.22, 0.88, 0.255042","-22.0, 0.0, -25.504198","22.0, 88.0, 25.504198","44.0, 88.0, 51.008396",377,,,,,
p5d.497,p5d,497,partition,SUNCG,n03894379,partition.n.01,0,,,600,540,3,3,"-0.799999, 0.0, -0.0250001","0.799999, 1.5, 0.025000002","-79.9999, 0.0, -2.5","79.9999, 150.0, 2.50001","159.9998, 150.0, 5.00001",378,,,,159,
p5d.498,p5d,498,partition,SUNCG,n03894379,partition.n.01,0,,,848,760,3,3,"-0.8, 0.0, -0.0250001","0.8, 2.19923, 0.025000002","-80.0, 0.0, -2.5","80.0, 219.92299, 2.50001","160.0, 219.92299, 5.00001",379,,,,159,
p5d.499,p5d,499,"bathroom_stuff,towel_rack",SUNCG,n04459773,towel_rack.n.01,111,,,1056,540,1,1,"-0.250008, -0.0010894537, -0.0751591","0.2496, 0.467236, 0.07484099","-24.96, -0.10894394, -7.4840994","25.000801, 46.723602, 7.51591","49.9608, 46.832546, 15.00001",380,,,,,
p5d.500,p5d,500,"chair,straight_chair",SUNCG,n04331277,straight_chair.n.01,0,,,3542,1897,1,1,"-0.195, 0.0, -0.24972901","0.195, 0.86, 0.250271","-19.5, 0.0, -25.0271","19.5, 86.0, 24.9729","39.0, 86.0, 50.0",381,,,,,
p5d.501,p5d,501,"chair,straight_chair",SUNCG,n04331277,straight_chair.n.01,0,,,3804,2160,2,2,"-0.25, -0.0010849833, -0.275258","0.25, 0.756686, 0.274742","-25.0, -0.10849762, -27.474201","25.0, 75.668594, 27.525799","50.0, 75.77709, 55.0",382,,,,,
p5d.502,p5d,502,partition,SUNCG,n03894379,partition.n.01,0,,,1416,1148,3,3,"-0.8, 0.0, -0.08003199","0.8, 2.19923, 0.0800319","-80.0, 0.0, -8.00319","80.0, 219.92299, 8.0032","160.0, 219.92299, 16.00639",383,,,,159,
p5d.502_2,p5d,502_2,partition,SUNCG,n03894379,partition.n.01,0,,,596,496,3,3,"-0.8, 0.0, -0.0250001","0.8, 2.19923, 0.025000002","-80.0, 0.0, -2.5","80.0, 219.92299, 2.50001","160.0, 219.92299, 5.00001",383,"502,502_2",502,,159,
p5d.503,p5d,503,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,3614,2426,2,2,"-0.309958, 0.0, -0.210035","0.309958, 1.469969, 0.20994201","-30.995802, 0.0, -20.9942","30.995802, 146.9969, 21.0035","61.991604, 146.9969, 41.9977",384,,,,,
p5d.504,p5d,504,"table,dining_table",SUNCG,n03201208,dining_table.n.01,0,,,1316,816,2,2,"-0.700001, 0.0, -0.35","0.699999, 0.75, 0.35","-69.9999, 0.0, -35.0","70.0001, 75.0, 35.0","140.0, 75.0, 70.0",385,,,,,
p5d.505,p5d,505,"shelving,wall_shelf",SUNCG,n04190052,shelf.n.01,83,,,3985,3070,1,1,"-0.76, 0.00583148, -0.134859","0.76, 1.53417, 0.13465402","-76.0, 0.58314514, -13.4654","76.0, 153.417, 13.4859","152.0, 152.83386, 26.9513",386,,,,,
p5d.506,p5d,506,desk,SUNCG,n03179701,desk.n.01,0,,,1512,812,3,3,"-0.700217, 0.0, -0.375","0.700217, 0.75, 0.375","-70.0217, 0.0, -37.5","70.0217, 75.0, 37.5","140.0434, 75.0, 75.0",387,,,,,
p5d.507,p5d,507,"chair,armchair_with_ottoman",SUNCG,n02738535,armchair.n.01,0,,,9586,7245,3,3,"-0.49, 0.0, -0.682744","0.49, 0.84062, 0.6950431","-49.0, 0.0, -69.5043","49.0, 84.062, 68.2744","98.0, 84.062, 137.7787",388,,,,,
p5d.508,p5d,508,shelving,SUNCG,n04190052,shelf.n.01,0,,,2052,1164,2,2,"-0.250008, 0.0, -0.150032","0.250008, 2.0, 0.150032","-25.0008, 0.0, -15.0032","25.0008, 200.0, 15.0032","50.0016, 200.0, 30.0064",389,,,,,
p5d.509,p5d,509,dresser,SUNCG,n03015254,chest_of_drawers.n.01,0,,,4198,3749,2,2,"-0.555117, 0.0, -0.25","0.555117, 0.9, 0.25","-55.5117, 0.0, -25.0","55.5117, 90.0, 25.0","111.0234, 90.0, 50.0",390,,,,,
p5d.510,p5d,510,heater,SUNCG,n03508101,heater.n.01,14,,,3732,5262,1,1,"-0.5, 2.7954578E-5, -0.0502868","0.49977, 0.585304, 0.049713105","-49.976997, 0.0027923584, -4.9713106","50.0, 58.530403, 5.02868","99.977, 58.52761, 9.99999",391,,,,,
p5d.511,p5d,511,"chair,armchair",SUNCG,n02738535,armchair.n.01,0,,,5832,3418,2,2,"-0.395897, 0.001026988, -0.350173","0.395897, 0.718132, 0.35173404","-39.5897, 0.10269928, -35.1734","39.5897, 71.8132, 35.017303","79.1794, 71.7105, 70.190704",392,,,,,
p5d.512,p5d,512,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,5022,2788,2,2,"-0.399921, 3.629923E-4, -0.225","0.399921, 1.6, 0.22498801","-39.9921, 0.03630066, -22.498802","39.9921, 160.0, 22.5","79.9842, 159.9637, 44.998802",393,,,,,
p5d.513,p5d,513,"stand,nightstand",SUNCG,n03015254,chest_of_drawers.n.01,0,,,4624,2376,1,1,"-0.399921, 3.629923E-4, -0.225","0.399921, 0.855887, 0.22498801","-39.9921, 0.03630066, -22.498802","39.9921, 85.5887, 22.5","79.9842, 85.5524, 44.998802",394,,,,,
p5d.514,p5d,514,desk,SUNCG,n03179701,desk.n.01,0,,,1468,924,2,2,"-1.125, 0.0, -0.425","1.125, 0.75, 0.425","-112.5, 0.0, -42.5","112.5, 75.0, 42.5","225.0, 75.0, 85.0",395,,,,,
p5d.515,p5d,515,"indoor_lamp,table_lamp",SUNCG,n04380533,table_lamp.n.01,75,,,3208,2360,2,2,"-0.0899407, 0.0, -0.330113","0.0899407, 0.635603, 0.329593","-8.99407, 0.0, -32.959297","8.99407, 63.560303, 33.0113","17.98814, 63.560303, 65.9706",396,,,,,
p5d.516,p5d,516,"chair,office_chair",SUNCG,n04373704,swivel_chair.n.01,0,,,12816,6925,3,3,"-0.359092, 2.4098158E-4, -0.340196","0.359074, 0.945984, 0.340196","-35.9074, 0.024101257, -34.0196","35.9092, 94.598404, 34.0196","71.8166, 94.5743, 68.0392",397,,,,,
p5d.517,p5d,517,"indoor_lamp,floor_lamp",SUNCG,n03367059,floor_lamp.n.01,0,,,782,655,4,4,"-0.115, 0.0, -0.115","0.115, 1.524, 0.115","-11.5, 0.0, -11.5","11.5, 152.40001, 11.5","23.0, 152.40001, 23.0",398,,,,,
p5d.518,p5d,518,whiteboard,SUNCG,n03211616,display_panel.n.01,0,,,3632,1844,4,4,"-0.35, 2.4998188E-4, -0.25","0.35, 1.400218, 0.25","-35.0, 0.024993896, -25.0","35.0, 140.0218, 25.0","70.0, 139.99681, 50.0",399,,,,,
p5d.519,p5d,519,fireplace,SUNCG,n03346455,fireplace.n.01,0,,,3576,2889,2,2,"-0.725, 0.0, -0.16667","0.725, 1.06, 0.17332998","-72.5, 0.0, -17.333","72.5, 105.99999, 16.667","145.0, 105.99999, 34.0",400,,,,,
p5d.520,p5d,520,"indoor_lamp,floor_lamp",SUNCG,n03367059,floor_lamp.n.01,0,,,2276,1709,3,3,"-0.176575, -2.3841858E-7, -0.868101","0.176575, 2.19249, 0.868101","-17.657501, -1.5258789E-5, -86.81009","17.657501, 219.24901, 86.810104","35.315002, 219.24902, 173.6202",401,,,,,
p5d.521,p5d,521,"indoor_lamp,floor_lamp",SUNCG,n03367059,floor_lamp.n.01,0,,,1219,1002,4,4,"-0.225135, -1.1920929E-7, -0.225135","0.225135, 1.68, 0.225135","-22.5135, -1.5258789E-5, -22.5135","22.5135, 168.0, 22.5135","45.027, 168.00002, 45.027",402,,,,,
p5d.522,p5d,522,"music,piano",SUNCG,n03928116,piano.n.01,0,,,4174,4236,2,2,"-0.749956, 6.519556E-4, -0.749911","0.750003, 0.939968, 0.749963","-75.0003, 0.065200806, -74.99629","74.9956, 93.996796, 74.991104","149.9959, 93.931595, 149.9874",403,,,,,
p5d.523,p5d,523,"indoor_lamp,floor_lamp",SUNCG,n03367059,floor_lamp.n.01,0,,,1420,893,4,4,"-0.26379, 0.0, -0.26379","0.26379, 1.58, 0.26379","-26.379002, 0.0, -26.379002","26.379002, 158.0, 26.379002","52.758003, 158.0, 52.758003",404,,,,,
p5d.524,p5d,524,"indoor_lamp,floor_lamp",SUNCG,n03367059,floor_lamp.n.01,0,,,1520,1053,4,4,"-0.199966, 0.0, -0.0749795","0.199966, 1.49995, 0.07497941","-19.9966, 0.0, -7.49794","19.9966, 149.99501, 7.4979496","39.9932, 149.99501, 14.99589",405,,,,,
p5d.525,p5d,525,"table,dining_table",SUNCG,n03201208,dining_table.n.01,0,,,1344,964,1,1,"-0.75, 5.1021576E-5, -0.75","0.75, 0.75, 0.75","-75.0, 0.0050964355, -75.0","75.0, 75.0, 75.0","150.0, 74.9949, 150.0",406,,,,,
p5d.526,p5d,526,hanger,SUNCG,n03490884,hanger.n.02,0,,,4196,2475,2,2,"-0.224686, 2.7501583E-4, -0.14","0.224686, 1.799738, 0.14","-22.4686, 0.027496338, -14.0","22.4686, 179.9738, 14.0","44.9372, 179.9463, 28.0",407,,,,,
p5d.527,p5d,527,towel_hanger,SUNCG,n03490884,hanger.n.02,100,,,1120,598,2,2,"-0.300006, 0.0049657226, -0.0983677","0.300006, 0.59975, 0.0928488","-30.0006, 0.4965706, -9.28488","30.0006, 59.975, 9.836771","60.0012, 59.478428, 19.12165",408,,,,,
p5d.528,p5d,528,"kitchen_cabinet,tall_kitchen_cabinet",SUNCG,n02933112,cabinet.n.01,0,,,8204,5812,3,3,"-0.684327, 0.0, -0.339327","0.684327, 1.88, 0.339327","-68.4327, 0.0, -33.9327","68.4327, 188.0, 33.9327","136.8654, 188.0, 67.8654",409,,,,,
p5d.529,p5d,529,vase,SUNCG,n04522168,vase.n.01,0,,,720,409,1,1,"-0.13, 3.1000376E-4, -0.13","0.13, 0.429856, 0.13","-13.0, 0.03099823, -13.0","13.0, 42.9856, 13.0","26.0, 42.9546, 26.0",410,,,,,
p5d.530,p5d,530,"kitchenware,plates",SUNCG,n03959485,plate.n.04,75,,,3072,1740,2,2,"-0.109997, -7.4505806E-9, -0.109997","0.109997, 0.085, 0.109997","-10.9997, -9.536743E-7, -10.9997","10.9997, 8.5, 10.9997","21.9994, 8.500001, 21.9994",411,,,,,
p5d.531,p5d,531,candle,SUNCG,n02948072,candle.n.01,75,,,3574,1965,4,4,"-0.13, 0.0, -0.0528062","0.13, 0.569552, 0.0528062","-13.0, 0.0, -5.2806196","13.0, 56.9552, 5.2806196","26.0, 56.9552, 10.561239",412,,,,,
p5d.532,p5d,532,"chair,office_chair",SUNCG,n04373704,swivel_chair.n.01,0,,,5780,3005,3,3,"-0.300063, -8.940697E-6, -0.289934","0.300063, 1.003035, 0.289934","-30.006302, -9.0026855E-4, -28.9934","30.006302, 100.3035, 28.9934","60.012604, 100.3044, 57.9868",413,,,,,
p5d.533,p5d,533,desk,SUNCG,n03179701,desk.n.01,0,,,1136,826,2,2,"-0.900018, 0.0, -0.46","0.900018, 0.77, 0.46","-90.0018, 0.0, -46.0","90.0018, 77.0, 46.0","180.0036, 77.0, 92.0",414,,,,,
p5d.534,p5d,534,stand,SUNCG,n04301000,stand.n.04,0,,,7506,4886,2,2,"-0.29074997, 0.0, -0.290565","0.290335, 0.87, 0.290519","-29.0335, 0.0, -29.051899","29.074997, 87.0, 29.0565","58.108498, 87.0, 58.1084",415,,,1,,
p5d.535,p5d,535,"chair,armchair",SUNCG,n02738535,armchair.n.01,0,,,5676,3294,2,2,"-0.305, 0.0029610395, -0.51037395","0.305, 1.001253, 0.509627","-30.5, 0.29610443, -50.9627","30.5, 100.1253, 51.0374","61.0, 99.82919, 102.0001",416,,,,,
p5d.536,p5d,536,"kitchenware,utensil_holder",SUNCG,n03525454,holder.n.01,78,,,3604,2064,2,2,"-0.0995196, 0.0, -0.12551","0.0995196, 0.509859, 0.125433","-9.951961, 0.0, -12.543299","9.951961, 50.9859, 12.551001","19.903921, 50.9859, 25.0943",417,,,,,
p5d.537,p5d,537,"kitchen_appliance,food_processor",SUNCG,n03378174,food_processor.n.01,75,,,3824,3250,6,6,"-0.1, -2.5629997E-6, -0.17500001","0.1, 0.449933, 0.175019","-10.0, -2.5558472E-4, -17.5019","10.0, 44.993298, 17.5","20.0, 44.993553, 35.0019",418,,,,,
p5d.538,p5d,538,"kitchenware,knife_rack",SUNCG,n03621377,kitchenware.n.01,78,,,3182,1929,3,3,"-0.114876, -1.4901161E-8, -0.13483","0.114877, 0.227768, 0.13483","-11.4876995, -1.9073486E-6, -13.483","11.4876, 22.7768, 13.483","22.9753, 22.776802, 26.966",419,,,,,
p5d.539,p5d,539,"kitchenware,coffee_kettle",SUNCG,n03612814,kettle.n.01,78,,,1552,844,3,3,"-0.040030897, 4.4323504E-5, -0.119913","0.0399691, 0.124213, 0.12106","-3.99691, 0.004432678, -12.106001","4.00309, 12.4213, 11.991301","8.0, 12.416867, 24.097301",420,,,,,
p5d.540,p5d,540,toy,SUNCG,n03964744,plaything.n.01,0,,,9756,5010,3,3,"-0.53, 1.6403198E-4, -0.61065805","0.53, 1.435246, 0.6105751","-52.999996, 0.016403198, -61.057503","52.999996, 143.5246, 61.065804","105.99999, 143.5082, 122.12331",421,,,,,
p5d.541,p5d,541,ottoman,SUNCG,n03380724,footstool.n.01,0,,,8124,4408,2,2,"-0.2, 0.0, -0.21","0.2, 0.41374, 0.21","-20.0, 0.0, -21.0","20.0, 41.374, 21.0","40.0, 41.374, 42.0",422,,,,,
p5d.542,p5d,542,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,596,394,2,2,"-0.395, 0.0, -0.395","0.395, 0.29, 0.395","-39.5, 0.0, -39.5","39.5, 29.0, 39.5","79.0, 29.0, 79.0",423,,,,,
